date,position_count,invalid_ohlc_positions,invalid_limit_positions,vwap_unit_outlier_positions,failed_positions,warning_positions,invalid_ohlc_weight,invalid_limit_weight,vwap_unit_outlier_weight
2025-01-03,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-06,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-07,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-08,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-09,50,0,1,0,1,0,0.0,0.0197852552259917,0.0
2025-01-10,49,0,0,0,0,0,0.0,0.0,0.0
2025-01-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-14,50,0,1,0,1,0,0.0,0.0205455270495713,0.0
2025-01-15,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-16,50,0,2,0,2,0,0.0,0.0413999222156714,0.0
2025-01-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-22,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-01-27,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-05,50,0,3,0,3,0,0.0,0.0663449764562631,0.0
2025-02-06,50,0,1,0,1,0,0.0,0.0211389594183088,0.0
2025-02-07,50,0,1,0,1,0,0.0,0.0229061603512694,0.0
2025-02-10,50,0,1,0,1,0,0.0,0.0332898808476278,0.0
2025-02-11,50,0,1,0,1,0,0.0,0.0400020005857041,0.0
2025-02-12,50,0,1,0,1,0,0.0,0.019134371361601,0.0
2025-02-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-14,50,0,1,0,1,0,0.0,0.0197575287893274,0.0
2025-02-17,50,0,1,0,1,0,0.0,0.0200856635789935,0.0
2025-02-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-21,50,0,6,0,6,0,0.0,0.1272274813806589,0.0
2025-02-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-02-25,51,0,0,0,0,0,0.0,0.0,0.0
2025-02-26,51,0,0,0,0,0,0.0,0.0,0.0
2025-02-27,51,0,1,0,1,0,0.0,0.0191930123600535,0.0
2025-02-28,51,0,0,0,0,0,0.0,0.0,0.0
2025-03-03,51,0,0,0,0,0,0.0,0.0,0.0
2025-03-04,51,0,0,0,0,0,0.0,0.0,0.0
2025-03-05,51,0,0,0,0,0,0.0,0.0,0.0
2025-03-06,51,0,1,0,1,0,0.0,0.0213187494639895,0.0
2025-03-07,51,0,0,0,0,0,0.0,0.0,0.0
2025-03-10,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-14,50,0,1,0,1,0,0.0,0.0191757031420135,0.0
2025-03-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-25,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-26,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-27,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-28,50,0,0,0,0,0,0.0,0.0,0.0
2025-03-31,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-01,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-02,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-03,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-07,50,0,29,0,29,0,0.0,0.5590286783129083,0.0
2025-04-08,50,0,5,0,5,0,0.0,0.0862060938659725,0.0
2025-04-09,50,0,1,0,1,0,0.0,0.0212020787025651,0.0
2025-04-10,50,0,1,0,1,0,0.0,0.0179959147660823,0.0
2025-04-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-15,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-22,50,0,2,0,2,0,0.0,0.0356616443649286,0.0
2025-04-23,50,0,1,0,1,0,0.0,0.0219436383399885,0.0
2025-04-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-25,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-28,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-29,50,0,0,0,0,0,0.0,0.0,0.0
2025-04-30,50,0,1,0,1,0,0.0,0.021812902224589,0.0
2025-05-06,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-07,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-08,50,0,1,0,1,0,0.0,0.0205043634287206,0.0
2025-05-09,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-15,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-22,50,0,1,0,1,0,0.0,0.0242907424419109,0.0
2025-05-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-26,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-27,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-28,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-29,50,0,0,0,0,0,0.0,0.0,0.0
2025-05-30,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-03,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-04,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-05,50,0,1,0,1,0,0.0,0.0256656699324103,0.0
2025-06-06,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-09,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-10,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-13,50,0,1,0,1,0,0.0,0.0194429539383504,0.0
2025-06-16,50,0,3,0,3,0,0.0,0.0667385938339887,0.0
2025-06-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-25,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-26,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-27,50,0,0,0,0,0,0.0,0.0,0.0
2025-06-30,50,0,1,0,1,0,0.0,0.0197607790397017,0.0
2025-07-01,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-02,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-03,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-04,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-07,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-08,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-09,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-10,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-11,50,0,2,0,2,0,0.0,0.0412443390746446,0.0
2025-07-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-15,50,0,2,0,2,0,0.0,0.0457091404659373,0.0
2025-07-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-17,50,0,1,0,1,0,0.0,0.0224062542572698,0.0
2025-07-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-22,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-25,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-28,50,0,3,0,3,0,0.0,0.0631749779036514,0.0
2025-07-29,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-30,50,0,0,0,0,0,0.0,0.0,0.0
2025-07-31,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-01,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-04,50,0,1,0,1,0,0.0,0.0199236457323863,0.0
2025-08-05,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-06,50,0,1,0,1,0,0.0,0.0198950316072402,0.0
2025-08-07,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-08,50,0,1,0,1,0,0.0,0.019662473487535,0.0
2025-08-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-12,50,0,1,0,1,0,0.0,0.0281950804064654,0.0
2025-08-13,50,0,1,0,1,0,0.0,0.0208115157108229,0.0
2025-08-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-15,50,0,1,0,1,0,0.0,0.0203261716190443,0.0
2025-08-18,50,0,2,0,2,0,0.0,0.0431678708429404,0.0
2025-08-19,50,0,2,0,2,0,0.0,0.0446314033632509,0.0
2025-08-20,50,0,2,0,2,0,0.0,0.04310987481125041,0.0
2025-08-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-08-22,50,0,3,0,3,0,0.0,0.0620497902804235,0.0
2025-08-25,50,0,1,0,1,0,0.0,0.0217499725310453,0.0
2025-08-26,50,0,1,0,1,0,0.0,0.0230394844005066,0.0
2025-08-27,50,0,1,0,1,0,0.0,0.0212546671425319,0.0
2025-08-28,50,0,3,0,3,0,0.0,0.0719868565786578,0.0
2025-08-29,50,0,1,0,1,0,0.0,0.0206644515468555,0.0
2025-09-01,51,0,1,0,1,0,0.0,0.0186928355809778,0.0
2025-09-02,51,0,2,0,2,0,0.0,0.040493944155329795,0.0
2025-09-03,51,0,1,0,1,0,0.0,0.0196726993901386,0.0
2025-09-04,51,0,0,0,0,0,0.0,0.0,0.0
2025-09-05,51,0,2,0,2,0,0.0,0.0410879461340381,0.0
2025-09-08,51,0,0,0,0,0,0.0,0.0,0.0
2025-09-09,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-10,50,0,3,0,3,0,0.0,0.0722289309640648,0.0
2025-09-11,50,0,8,0,8,0,0.0,0.16951420273155,0.0
2025-09-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-15,50,0,1,0,1,0,0.0,0.0201214926925263,0.0
2025-09-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-22,50,0,2,0,2,0,0.0,0.0458044351295597,0.0
2025-09-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-25,50,0,1,0,1,0,0.0,0.0220221143929296,0.0
2025-09-26,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-29,50,0,0,0,0,0,0.0,0.0,0.0
2025-09-30,50,0,1,0,1,0,0.0,0.0213378071164217,0.0
2025-10-09,50,0,1,0,1,0,0.0,0.0213962724169701,0.0
2025-10-10,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-15,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-17,50,0,1,0,1,0,0.0,0.0203660233284552,0.0
2025-10-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-21,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-22,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-23,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-24,50,0,1,0,1,0,0.0,0.0215486464024154,0.0
2025-10-27,50,0,2,0,2,0,0.0,0.040704139983589,0.0
2025-10-28,50,0,1,0,1,0,0.0,0.0202417758491781,0.0
2025-10-29,50,0,0,0,0,0,0.0,0.0,0.0
2025-10-30,50,0,1,0,1,0,0.0,0.0209613767481372,0.0
2025-10-31,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-03,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-04,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-05,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-06,50,0,2,0,2,0,0.0,0.0416643984914986,0.0
2025-11-07,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-10,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-13,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-14,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-17,50,0,1,0,1,0,0.0,0.0207762448812826,0.0
2025-11-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-20,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-21,50,0,1,0,1,0,0.0,0.0197543943036819,0.0
2025-11-24,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-25,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-26,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-27,50,0,0,0,0,0,0.0,0.0,0.0
2025-11-28,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-01,50,0,3,0,3,0,0.0,0.0621522532227761,0.0
2025-12-02,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-03,50,0,1,0,1,0,0.0,0.0213243664660975,0.0
2025-12-04,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-05,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-08,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-09,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-10,50,0,1,0,1,0,0.0,0.0200019312754178,0.0
2025-12-11,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-12,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-15,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-16,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-17,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-18,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-19,50,0,0,0,0,0,0.0,0.0,0.0
2025-12-22,51,0,1,0,1,0,0.0,0.0216391509354331,0.0
2025-12-23,51,0,1,0,1,0,0.0,0.0196418196156233,0.0
2025-12-24,51,0,0,0,0,0,0.0,0.0,0.0
2025-12-25,51,0,0,0,0,0,0.0,0.0,0.0
2025-12-26,51,0,0,0,0,0,0.0,0.0,0.0
2025-12-29,51,0,0,0,0,0,0.0,0.0,0.0
2025-12-30,52,0,0,0,0,0,0.0,0.0,0.0
2025-12-31,52,0,0,0,0,0,0.0,0.0,0.0
2026-01-05,51,0,1,0,1,0,0.0,0.0199212328943356,0.0
2026-01-06,51,0,0,0,0,0,0.0,0.0,0.0
2026-01-07,51,0,0,0,0,0,0.0,0.0,0.0
2026-01-08,51,0,0,0,0,0,0.0,0.0,0.0
2026-01-09,51,0,0,0,0,0,0.0,0.0,0.0
2026-01-12,51,0,2,0,2,0,0.0,0.0432019298442258,0.0
2026-01-13,51,0,0,0,0,0,0.0,0.0,0.0
2026-01-14,51,0,2,0,2,0,0.0,0.0449491817074558,0.0
2026-01-15,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-16,50,0,1,0,1,0,0.0,0.0243737759178854,0.0
2026-01-19,50,0,1,0,1,0,0.0,0.0218721868728454,0.0
2026-01-20,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-21,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-22,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-23,50,0,3,0,3,0,0.0,0.0631085643195115,0.0
2026-01-26,50,0,1,0,1,0,0.0,0.0193174384551807,0.0
2026-01-27,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-28,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-29,50,0,0,0,0,0,0.0,0.0,0.0
2026-01-30,50,0,1,0,1,0,0.0,0.0194551937360388,0.0
2026-02-02,50,0,2,0,2,0,0.0,0.0385780337623013,0.0
2026-02-03,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-04,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-05,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-06,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-09,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-10,50,0,1,0,1,0,0.0,0.0255466135917412,0.0
2026-02-11,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-12,50,0,2,0,2,0,0.0,0.041006181893806004,0.0
2026-02-13,50,0,0,0,0,0,0.0,0.0,0.0
2026-02-24,50,0,2,0,2,0,0.0,0.038658157502883594,0.0
2026-02-25,50,0,1,0,1,0,0.0,0.0240153158330286,0.0
2026-02-26,50,0,3,0,3,0,0.0,0.0645819657498986,0.0
2026-02-27,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-02,50,0,1,0,1,0,0.0,0.0222022653983215,0.0
2026-03-03,50,0,1,0,1,0,0.0,0.0221749779544397,0.0
2026-03-04,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-05,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-06,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-09,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-10,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-11,50,0,1,0,1,0,0.0,0.0221740443047105,0.0
2026-03-12,50,0,1,0,1,0,0.0,0.0256105833173042,0.0
2026-03-13,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-16,50,0,1,0,1,0,0.0,0.0221168078085797,0.0
2026-03-17,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-18,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-19,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-20,50,0,1,0,1,0,0.0,0.0233368933382665,0.0
2026-03-23,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-24,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-25,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-26,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-27,50,0,0,0,0,0,0.0,0.0,0.0
2026-03-30,50,0,1,0,1,0,0.0,0.0194676249564303,0.0
2026-03-31,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-01,50,0,1,0,1,0,0.0,0.0191293818887143,0.0
2026-04-02,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-03,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-07,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-08,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-09,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-10,50,0,1,0,1,0,0.0,0.0216408375549049,0.0
2026-04-13,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-14,50,0,1,0,1,0,0.0,0.0219186880992364,0.0
2026-04-15,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-16,50,0,1,0,1,0,0.0,0.0202144262004464,0.0
2026-04-17,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-20,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-21,50,0,1,0,1,0,0.0,0.0198773675912531,0.0
2026-04-22,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-23,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-24,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-27,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-28,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-29,50,0,0,0,0,0,0.0,0.0,0.0
2026-04-30,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-06,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-07,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-08,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-11,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-12,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-13,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-14,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-15,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-18,50,0,1,0,1,0,0.0,0.0199718832613123,0.0
2026-05-19,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-20,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-21,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-22,50,0,2,0,2,0,0.0,0.0410411332499275,0.0
2026-05-25,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-26,50,0,1,0,1,0,0.0,0.0239601808954904,0.0
2026-05-27,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-28,50,0,0,0,0,0,0.0,0.0,0.0
2026-05-29,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-01,50,0,2,0,2,0,0.0,0.0427603533220938,0.0
2026-06-02,50,0,1,0,1,0,0.0,0.0199781396540193,0.0
2026-06-03,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-04,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-05,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-08,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-09,50,0,1,0,1,0,0.0,0.0207927047770368,0.0
2026-06-10,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-11,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-12,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-15,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-16,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-17,50,0,1,0,1,0,0.0,0.0230661564500038,0.0
2026-06-18,50,0,1,0,1,0,0.0,0.022917742911284,0.0
2026-06-22,50,0,0,0,0,0,0.0,0.0,0.0
2026-06-23,50,0,2,0,2,0,0.0,0.0374091288979643,0.0
2026-06-24,50,0,1,0,1,0,0.0,0.0253777924479587,0.0
